growth	rate	source
0.1436	1.741	glucose
0.05	0.2902	glucose
0.2382	1.816	glucose
0.3526	4.158	glucose
0.3527	4.926	YNBglc
0.05	0.50614	YNBglc
0.44	7.77	xylose
