cSource	cSource flux	CO2 flux	O2 flux	growth
(R)-lactate	-10.00	19.38	-17.73	0.335
(S)-lactate	-10.00	19.38	-17.73	0.335
D-arabinose	-6.00	17.09	-15.08	0.407
L-arabinose	-6.00	17.58	-15.64	0.392
acetate	-15.00	20.75	-19.31	0.292
galactose	-5.00	16.60	-14.51	0.423
glucose	-5.00	16.60	-14.51	0.423
mannose	-5.00	16.60	-14.51	0.423
sucrose	-2.50	16.46	-14.34	0.427
xylose	-6.00	17.09	-15.08	0.407
