Rxn name	Formula	Gene-reaction association	LB	UB	Objective
r_0001	s_0025 + 2 s_0709  -> 2 s_0710 + s_1399 	PAPLA_00446 or PAPLA_01906 or PAPLA_02186 or PAPLA_03705	  0.00	1000.00	  0.00
r_0002	s_0027 + 2 s_0709  -> 2 s_0710 + s_1401 	( PAPLA_03705 and PAPLA_05450 ) or ( PAPLA_02186 and PAPLA_05450 )	  0.00	1000.00	  0.00
r_0004	s_0063 + 2 s_0709  -> 2 s_0710 + s_1399 	( PAPLA_05450 and PAPLA_01825 ) or ( PAPLA_05450 and PAPLA_03690 ) or ( PAPLA_05450 and PAPLA_04162 ) or ( PAPLA_05450 and PAPLA_04267 ) or ( PAPLA_05450 and PAPLA_04342 ) or ( PAPLA_05450 and PAPLA_04700 ) or ( PAPLA_05450 and PAPLA_04894 )	  0.00	1000.00	  0.00
r_0005	s_1543  -> s_0001 + s_0794 + s_1538 	PAPLA_05671	  0.00	1000.00	  0.00
r_0006	s_1543  -> s_0004 + s_0794 + s_1538 	PAPLA_02531 or PAPLA_02872 or PAPLA_02895	  0.00	1000.00	  0.00
r_0007	s_0077  -> s_0312 	PAPLA_03678	  0.00	1000.00	  0.00
r_0013	s_0311 + 3 s_0803  -> s_0294 + s_0722 + 6 s_0794 + s_1322 	PAPLA_01699	  0.00	1000.00	  0.00
r_0014	s_0142 + s_0794 + s_0803  -> s_0313 + s_0419 	PAPLA_02908	  0.00	1000.00	  0.00
r_0015	s_0141 + s_0794 + s_1212  -> s_0142 + s_1207 	PAPLA_05408	  0.00	1000.00	  0.00
r_0016	s_0179 + s_0799 + s_1401  -> s_0039 + s_0460 	PAPLA_03446	  0.00	1000.00	  0.00
r_0018	s_0176 + s_0991  <=> s_0180 + s_0953 	PAPLA_04670	-1000.00	1000.00	  0.00
r_0020	s_0552 + s_0807 + s_1361  -> s_0350 + s_1326 	PAPLA_02669 or PAPLA_06302	  0.00	1000.00	  0.00
r_0021	s_0155 + s_1419  -> s_0156 + s_0799 + s_1415 	( PAPLA_02366 and PAPLA_05126 and PAPLA_06261 and PAPLA_02748 and PAPLA_04581 and PAPLA_04074 ) or ( PAPLA_02366 and PAPLA_05126 and PAPLA_06261 and PAPLA_04409 and PAPLA_04581 and PAPLA_04074 )	  0.00	1000.00	  0.00
r_0022	s_0157 + s_1278  -> s_0155 + s_0807 	( PAPLA_02366 and PAPLA_05126 and PAPLA_06261 and PAPLA_02748 and PAPLA_04581 and PAPLA_04074 ) or ( PAPLA_02366 and PAPLA_05126 and PAPLA_06261 and PAPLA_04409 and PAPLA_04581 and PAPLA_04074 )	  0.00	1000.00	  0.00
r_0023	s_0165 + s_0803  <=> s_0162 	PAPLA_04400	-1000.00	1000.00	  0.00
r_0024	s_0232 + s_0373 + s_0803  -> s_0162 + s_0529 + s_0794 	PAPLA_01848	  0.00	1000.00	  0.00
r_0025	s_0233 + s_0376 + s_0807  -> s_0164 + s_0532 + s_0799 	PAPLA_01848	  0.00	1000.00	  0.00
r_0026	s_0294 + s_0991  -> s_0180 + s_1029 	PAPLA_03250	  0.00	1000.00	  0.00
r_0027	s_0834  <=> s_0454 + s_0807 	PAPLA_02182	-1000.00	1000.00	  0.00
r_0028	s_0807 + s_1273 + s_1382  -> s_0174 + s_0532 + s_0799 	PAPLA_04605	  0.00	1000.00	  0.00
r_0029	s_0010 + s_0794  -> s_0291 + s_0456 	PAPLA_03250	  0.00	1000.00	  0.00
r_0030	s_0011 + s_0799  -> s_0292 + s_0460 	PAPLA_03250	  0.00	1000.00	  0.00
r_0033	s_0192 + s_0803  -> s_0423 + s_0794 	PAPLA_03615	  0.00	1000.00	  0.00
r_0034	s_0194 + s_0803  -> s_0584 + s_0794 	PAPLA_03615	  0.00	1000.00	  0.00
r_0035	s_0196 + s_0803  -> s_0794 + s_0849 	PAPLA_03615	  0.00	1000.00	  0.00
r_0036	s_0195 + s_0803  -> s_0782 + s_0794 	PAPLA_03615	  0.00	1000.00	  0.00
r_0037	s_0193 + s_0803  -> s_0526 + s_0794 	PAPLA_03615	  0.00	1000.00	  0.00
r_0038	s_0577  -> s_0158 + s_0722 + s_0794 	PAPLA_05155	  0.00	1000.00	  0.00
r_0039	s_0210  -> s_0211 + s_0803 	PAPLA_03734	  0.00	1000.00	  0.00
r_0040	s_0349  -> s_0210 + s_1322 	PAPLA_03734	  0.00	1000.00	  0.00
r_0041	s_0231 + 2 s_0795 + s_1213  -> s_1208 + s_1445 	PAPLA_02031	  0.00	1000.00	  0.00
r_0042	s_0551 + s_0803 + s_1360  -> s_0349 + s_1322 	PAPLA_02669 or PAPLA_06302	  0.00	1000.00	  0.00
r_0043	s_0215 + 0.5 s_1275  -> s_0212 	PAPLA_04807	  0.00	1000.00	  0.00
r_0045	s_0222 + s_0803  -> s_0224 + s_0955 	PAPLA_02789	  0.00	1000.00	  0.00
r_0057	s_0054 + s_1202  -> s_0257 + s_0801 + s_1206 	PAPLA_04129 or PAPLA_04130	  0.00	1000.00	  0.00
r_0058	s_0224 + s_1275  -> s_0147 + s_0794 	PAPLA_04090	  0.00	1000.00	  0.00
r_0060	s_0009  <=> s_0165 + s_0803 	PAPLA_04400	-1000.00	1000.00	  0.00
r_0062	s_0232 + s_0794  -> s_0456 + s_0937 	PAPLA_01152	  0.00	1000.00	  0.00
r_0063	s_0233 + s_0307 + s_0807  -> s_0150 + s_1488 	PAPLA_01102	  0.00	1000.00	  0.00
r_0064	s_0056 + s_0794  -> s_0166 + s_0456 	PAPLA_01152	  0.00	1000.00	  0.00
r_0065	s_0261 + s_1360  -> s_0324 + s_1322 	PAPLA_03734	  0.00	1000.00	  0.00
r_0066	s_0515 + s_0999  -> s_0269 + s_0991 	PAPLA_01449	  0.00	1000.00	  0.00
r_0068	s_0180 + s_0734  -> s_0991 + s_1461 	PAPLA_02875	  0.00	1000.00	  0.00
r_0069	s_0264 + s_0803  -> s_0285 + s_1322 	PAPLA_03659	  0.00	1000.00	  0.00
r_0072	s_0291 + s_0794  -> s_0234 + s_0456 	PAPLA_01152	  0.00	1000.00	  0.00
r_0073	s_0279 + s_0803  <=> 2 s_0794 + s_1158 + s_1322 	PAPLA_00179	-1000.00	1000.00	  0.00
r_0075	s_0303 + s_1322  -> s_0383 + s_1422 	PAPLA_04418	  0.00	1000.00	  0.00
r_0079	s_0301 + s_0434 + s_0803 + s_0999  -> s_0302 + s_0394 + s_0794 + s_0991 + s_1322 	PAPLA_06146	  0.00	1000.00	  0.00
r_0080	s_0306 + 2 s_0794 + s_1212  -> s_0322 + s_1207 	PAPLA_04325 or PAPLA_05344	  0.00	1000.00	  0.00
r_0081	s_0799 + s_1005 + s_1464  -> s_0317 + s_0460 + s_0532 	PAPLA_03969	  0.00	1000.00	  0.00
r_0085	s_0323 + s_1012  -> s_1029 + s_1486 	PAPLA_02319	  0.00	1000.00	  0.00
r_0086	s_1423  -> s_0311 + s_0803 	PAPLA_00502	  0.00	1000.00	  0.00
r_0088	s_0318 + 2 s_0794 + s_1322  <=> s_0263 + s_0803 	PAPLA_00179	-1000.00	1000.00	  0.00
r_0089	s_0318 + 2 s_0794 + s_1322  <=> s_0309 + s_0803 	PAPLA_00179	-1000.00	1000.00	  0.00
r_0090	s_0434 + s_0557  -> s_0394 + s_0442 + s_0794 	PAPLA_05436 or PAPLA_06276	  0.00	1000.00	  0.00
r_0091	s_0335 + s_0803  -> s_0340 + s_0794 	PAPLA_00199 or PAPLA_03078	  0.00	1000.00	  0.00
r_0092	s_0333 + s_0803  <=> 2 s_0794 + s_1158 + s_1322 	PAPLA_00179	-1000.00	1000.00	  0.00
r_0095	2 s_0359  -> s_0020 	PAPLA_01152	  0.00	1000.00	  0.00
r_0096	s_0146 + s_0799 + s_1214  -> s_0016 + s_1210 	PAPLA_05800	  0.00	1000.00	  0.00
r_0097	s_0799 + 2 s_1401  -> s_0146 + s_0460 	PAPLA_03446	  0.00	1000.00	  0.00
r_0100	s_0250 + s_0534  -> s_0378 + s_1305 	PAPLA_00899 or PAPLA_01492 or PAPLA_01644	  0.00	1000.00	  0.00
r_0101	s_0243 + s_0534  -> s_0378 + s_1482 	PAPLA_00899 or PAPLA_01492 or PAPLA_01644	  0.00	1000.00	  0.00
r_0102	s_0253 + s_0534  -> s_0378 + s_1179 	PAPLA_00899 or PAPLA_01492 or PAPLA_01644	  0.00	1000.00	  0.00
r_0103	2 s_0373  -> s_0367 + s_0529 	PAPLA_00899 or PAPLA_01492 or PAPLA_01644	  0.00	1000.00	  0.00
r_0104	2 s_0376  -> s_0370 + s_0532 	PAPLA_00899 or PAPLA_01492 or PAPLA_01644	  0.00	1000.00	  0.00
r_0105	s_0257 + s_0534  -> s_0378 + s_1076 	PAPLA_00899 or PAPLA_01492 or PAPLA_01644	  0.00	1000.00	  0.00
r_0106	s_0239 + s_0534  -> s_0378 + s_1258 	PAPLA_00899 or PAPLA_01492 or PAPLA_01644	  0.00	1000.00	  0.00
r_0107	s_0247 + s_0534  -> s_0378 + s_0605 	PAPLA_00899 or PAPLA_01492 or PAPLA_01644	  0.00	1000.00	  0.00
r_0108	s_0376 + s_0437 + s_0447  -> s_0397 + s_0799 + s_1104 + s_1326 	PAPLA_05972	  0.00	1000.00	  0.00
r_0109	s_0373 + s_0434 + s_0445  -> s_0394 + s_0794 + s_1101 + s_1322 	PAPLA_00589 and PAPLA_05972	  0.00	1000.00	  0.00
r_0112	s_0362 + s_0434 + s_0529  -> s_0373 + s_0423 + s_0633 	PAPLA_05332	  0.00	1000.00	  0.00
r_0113	s_0365 + s_0437 + s_0532  -> s_0376 + s_0424 + s_0636 	PAPLA_05332	  0.00	1000.00	  0.00
r_0114	s_0366 + s_0438 + s_0533  -> s_0377 + s_0425 + s_0637 	PAPLA_05332	  0.00	1000.00	  0.00
r_0115	s_0437 + s_1192  -> s_0397 + s_1191 	PAPLA_05810	  0.00	1000.00	  0.00
r_0118	s_0145 + s_0993  -> s_0182 + s_1182 	PAPLA_05430	  0.00	1000.00	  0.00
r_0120	s_0605 + s_1279  -> s_0840 + s_1507 	PAPLA_02012 or PAPLA_02013	  0.00	1000.00	  0.00
r_0121	s_1076 + s_1279  -> s_0840 + s_1510 	PAPLA_02012 or PAPLA_02013	  0.00	1000.00	  0.00
r_0122	s_0819 + s_1279  -> s_0840 + s_1513 	PAPLA_02012 or PAPLA_02013	  0.00	1000.00	  0.00
r_0123	s_1279 + s_1305  -> s_0823 + s_0840 	PAPLA_02012 or PAPLA_02013	  0.00	1000.00	  0.00
r_0124	s_1279 + s_1457  -> s_0840 + s_1516 	PAPLA_02012 or PAPLA_02013	  0.00	1000.00	  0.00
r_0125	s_1179 + s_1279  -> s_0840 + s_1519 	PAPLA_02012 or PAPLA_02013	  0.00	1000.00	  0.00
r_0126	s_2821 + s_3432  <=> s_2785 + s_3433 	PAPLA_05949	-1000.00	1000.00	  0.00
r_0127	s_2821 + s_3441  <=> s_2785 + s_3442 	PAPLA_05949	-1000.00	1000.00	  0.00
r_0128	s_2821 + s_3435  <=> s_2785 + s_3436 	PAPLA_05949	-1000.00	1000.00	  0.00
r_0129	s_2821 + s_3438  <=> s_2785 + s_3439 	PAPLA_05949	-1000.00	1000.00	  0.00
r_0130	s_2821 + s_3444  <=> s_2785 + s_3445 	PAPLA_05949	-1000.00	1000.00	  0.00
r_0131	s_2819 + s_3432  <=> s_2785 + s_3434 	PAPLA_05949	-1000.00	1000.00	  0.00
r_0132	s_2819 + s_3441  <=> s_2785 + s_3443 	PAPLA_05949	-1000.00	1000.00	  0.00
r_0133	s_2819 + s_3435  <=> s_2785 + s_3437 	PAPLA_05949	-1000.00	1000.00	  0.00
r_0134	s_2819 + s_3438  <=> s_2785 + s_3440 	PAPLA_05949	-1000.00	1000.00	  0.00
r_0135	s_2819 + s_3444  <=> s_2785 + s_3446 	PAPLA_05949	-1000.00	1000.00	  0.00
r_0137	s_0329 + s_1303  <=> s_0330 + s_0530 	PAPLA_06142	-1000.00	1000.00	  0.00
r_0139	s_0383 + s_1386  -> s_0423 + s_0633 	PAPLA_02691	  0.00	1000.00	  0.00
r_0142	s_0386 + s_0434  -> s_0394 + s_0423 + s_0794 	PAPLA_02624	  0.00	1000.00	  0.00
r_0143	s_0423 + s_0794 + s_0803  -> s_0419 + s_0849 	PAPLA_02769	  0.00	1000.00	  0.00
r_0144	s_0803 + s_1413  -> s_0386 + s_1012 	PAPLA_02492	  0.00	1000.00	  0.00
r_0145	s_0794 + s_1416  -> s_0456 + s_1420 	PAPLA_04615	  0.00	1000.00	  0.00
r_0146	s_0352 + s_1416  <=> s_0341 + s_1412 	PAPLA_04295	-1000.00	1000.00	  0.00
r_0147	s_0434  -> s_0192 + s_0633 	PAPLA_06334	  0.00	1000.00	  0.00
r_0148	s_0423 + s_0434  -> 2 s_0394 	PAPLA_01917 or PAPLA_02396 or PAPLA_02489	  0.00	1000.00	  0.00
r_0149	s_0424 + s_0437  -> 2 s_0397 	PAPLA_02396 or PAPLA_02489	  0.00	1000.00	  0.00
